,density,relative_humidity,Run,BurnedOut,height,width
131,0.02,32,131,0.016216216216216217,100,100
132,0.02,33,132,0.009615384615384616,100,100
133,0.02,34,133,0.0045871559633027525,100,100
134,0.02,35,134,0.0,100,100
135,0.02,36,135,0.004830917874396135,100,100
136,0.02,37,136,0.0136986301369863,100,100
137,0.02,38,137,0.010101010101010102,100,100
138,0.02,39,138,0.004424778761061947,100,100
139,0.02,40,139,0.01675977653631285,100,100
140,0.02,41,140,0.0,100,100
141,0.02,42,141,0.009708737864077669,100,100
142,0.02,43,142,0.005847953216374269,100,100
143,0.02,44,143,0.0,100,100
144,0.02,45,144,0.005208333333333333,100,100
145,0.02,46,145,0.014018691588785047,100,100
146,0.02,47,146,0.0,100,100
147,0.02,48,147,0.010582010582010581,100,100
148,0.02,49,148,0.014492753623188406,100,100
149,0.02,50,149,0.01,100,100
150,0.02,51,150,0.005,100,100
151,0.02,52,151,0.01485148514851485,100,100
152,0.02,53,152,0.014084507042253521,100,100
153,0.02,54,153,0.00975609756097561,100,100
154,0.02,55,154,0.015306122448979591,100,100
155,0.02,56,155,0.004784688995215311,100,100
156,0.02,57,156,0.00546448087431694,100,100
157,0.02,58,157,0.0,100,100
158,0.02,59,158,0.0047169811320754715,100,100
159,0.02,60,159,0.009345794392523364,100,100
160,0.02,61,160,0.009009009009009009,100,100
161,0.02,62,161,0.0,100,100
162,0.02,63,162,0.0,100,100
163,0.02,64,163,0.009302325581395349,100,100
164,0.02,65,164,0.011627906976744186,100,100
165,0.02,66,165,0.019230769230769232,100,100
166,0.02,67,166,0.015789473684210527,100,100
167,0.02,68,167,0.015151515151515152,100,100
168,0.02,69,168,0.0,100,100
169,0.02,70,169,0.0,100,100
170,0.02,71,170,0.01092896174863388,100,100
171,0.02,72,171,0.010101010101010102,100,100
172,0.02,73,172,0.0,100,100
173,0.02,74,173,0.0,100,100
174,0.02,75,174,0.014285714285714285,100,100
175,0.02,76,175,0.01485148514851485,100,100
176,0.02,77,176,0.009259259259259259,100,100
177,0.02,78,177,0.0,100,100
178,0.02,79,178,0.0,100,100
179,0.02,80,179,0.009523809523809525,100,100
180,0.02,81,180,0.0,100,100
181,0.02,82,181,0.015625,100,100
182,0.02,83,182,0.0,100,100
183,0.02,84,183,0.005235602094240838,100,100
184,0.02,85,184,0.005263157894736842,100,100
185,0.02,86,185,0.0,100,100
186,0.02,87,186,0.009708737864077669,100,100
187,0.02,88,187,0.00510204081632653,100,100
188,0.02,89,188,0.015789473684210527,100,100
189,0.02,90,189,0.019138755980861243,100,100
190,0.02,91,190,0.00980392156862745,100,100
191,0.02,92,191,0.004901960784313725,100,100
192,0.02,93,192,0.0,100,100
193,0.02,94,193,0.005376344086021506,100,100
194,0.02,95,194,0.015873015873015872,100,100
195,0.02,96,195,0.005,100,100
196,0.02,97,196,0.015228426395939087,100,100
197,0.02,98,197,0.0,100,100
198,0.02,99,198,0.015706806282722512,100,100
199,0.02,100,199,0.013452914798206279,100,100
200,0.03,1,200,0.007662835249042145,100,100
201,0.03,2,201,0.011594202898550725,100,100
202,0.03,3,202,0.007017543859649123,100,100
203,0.03,4,203,0.01592356687898089,100,100
204,0.03,5,204,0.0033112582781456954,100,100
205,0.03,6,205,0.00974025974025974,100,100
206,0.03,7,206,0.006688963210702341,100,100
207,0.03,8,207,0.00980392156862745,100,100
208,0.03,9,208,0.0071174377224199285,100,100
209,0.03,10,209,0.009771986970684038,100,100
210,0.03,11,210,0.012861736334405145,100,100
211,0.03,12,211,0.012195121951219513,100,100
212,0.03,13,212,0.0,100,100
213,0.03,14,213,0.003257328990228013,100,100
214,0.03,15,214,0.025179856115107913,100,100
215,0.03,16,215,0.01845018450184502,100,100
216,0.03,17,216,0.009868421052631578,100,100
217,0.03,18,217,0.013071895424836602,100,100
218,0.03,19,218,0.012232415902140673,100,100
219,0.03,20,219,0.010033444816053512,100,100
220,0.03,21,220,0.023728813559322035,100,100
221,0.03,22,221,0.006134969325153374,100,100
222,0.03,23,222,0.006134969325153374,100,100
223,0.03,24,223,0.0036231884057971015,100,100
224,0.03,25,224,0.01929260450160772,100,100
225,0.03,26,225,0.01486988847583643,100,100
226,0.03,27,226,0.01,100,100
227,0.03,28,227,0.013029315960912053,100,100
228,0.03,29,228,0.0,100,100
229,0.03,30,229,0.011111111111111112,100,100
230,0.03,31,230,0.01090909090909091,100,100
231,0.03,32,231,0.023026315789473683,100,100
232,0.03,33,232,0.007168458781362007,100,100
233,0.03,34,233,0.009900990099009901,100,100
234,0.03,35,234,0.0033003300330033004,100,100
235,0.03,36,235,0.010676156583629894,100,100
236,0.03,37,236,0.009708737864077669,100,100
237,0.03,38,237,0.010830324909747292,100,100
238,0.03,39,238,0.020618556701030927,100,100
239,0.03,40,239,0.01060070671378092,100,100
240,0.03,41,240,0.006369426751592357,100,100
241,0.03,42,241,0.003194888178913738,100,100
242,0.03,43,242,0.009868421052631578,100,100
243,0.03,44,243,0.0220125786163522,100,100
244,0.03,45,244,0.0034965034965034965,100,100
245,0.03,46,245,0.007042253521126761,100,100
246,0.03,47,246,0.007067137809187279,100,100
247,0.03,48,247,0.013651877133105802,100,100
248,0.03,49,248,0.0165016501650165,100,100
249,0.03,50,249,0.006802721088435374,100,100
250,0.03,51,250,0.009202453987730062,100,100
251,0.03,52,251,0.0176678445229682,100,100
252,0.03,53,252,0.00625,100,100
253,0.03,54,253,0.006097560975609756,100,100
254,0.03,55,254,0.013422818791946308,100,100
